,population,lat,NDVI,PRI,ExGm,GRVI,ARI,RGR,NDVI_sd,PRI_sd,ExGm_sd,GRVI_sd,ARI_sd,RGR_sd
41,HH,27.471427,0.400968124,-0.183977643,-1.285722067,-0.418473718,0.288212334,1.956958546,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
42,HH,27.471427,0.365251934,-0.05918028,1.854847495,-0.115997424,0.070558179,1.194539858,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
43,HH,27.471427,0.432959244,-0.145428874,-0.300245876,-0.309363977,0.196941124,1.609950518,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
44,HH,27.471427,0.511847673,-0.130190874,1.690426393,-0.174428,0.124442987,1.275773723,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
45,HH,27.471427,0.291531026,-0.22464986,-3.038134143,-0.546745729,0.255024662,2.461270034,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
46,HH,27.471427,0.413188167,-0.126331811,3.568099907,-0.068387887,0.054041665,1.086802658,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
47,HH,27.471427,0.549163793,-0.128617363,-0.678781513,-0.352572137,0.349195533,1.757476849,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
48,HH,27.471427,0.506987031,-0.146052456,2.189358855,-0.199078794,0.12345843,1.323737349,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
49,JP2,42.49572,0.571411388,-0.143801653,-1.7710831,-0.79637234,1.887054829,4.330205031,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
50,JP2,42.49572,0.581397787,-0.021008403,-2.349777467,-0.718705077,1.133015546,3.517008439,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
51,JP2,42.49572,0.568556679,-0.114637402,-0.674733894,-0.378380373,0.388453477,1.822373475,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
52,JP2,42.49572,0.689549962,-0.170469799,-1.455826331,-0.66292362,1.061939423,3.050028778,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
53,JP2,42.49572,0.554275647,-0.09047619,-2.719004046,-0.811259317,1.363412493,4.394575534,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
54,JP2,42.49572,0.604076742,-0.21559633,-2.724232804,-0.77772362,0.992794049,3.885210483,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
55,JP2,42.49572,0.547154134,-0.109531773,-2.207307812,-0.587948957,0.646975043,2.727432929,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
56,JP2,42.49572,0.526139219,-0.153358409,-2.343476502,-0.491350329,0.316076339,2.268540847,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
57,OS,30.74021,0.41701143,-0.134606129,-2.667184874,-0.560869352,0.485261459,2.586535498,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
58,OS,30.74021,0.362581244,-0.161157873,-3.112469655,-0.649085651,0.680436491,3.171238354,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
59,OS,30.74021,0.442341601,-0.08819748,-1.055322129,-0.328629239,0.203409091,1.700479717,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
60,OS,30.74021,0.369088301,-0.148810289,-2.697388733,-0.507015335,0.375249273,2.360759508,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
61,OS,30.74021,0.46659625,-0.115867974,-1.413344227,-0.409517529,0.377642376,1.959676311,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
62,OS,30.74021,0.335553151,-0.139804096,-3.15562714,-0.650377034,0.709086178,3.20721843,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
63,OS,30.74021,0.40652819,-0.076124567,-0.675885465,-0.255044881,0.151236801,1.506517883,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
64,OS,30.74021,0.388141844,-0.12137311,-2.354887955,-0.492170538,0.382525582,2.303482234,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
65,SCH11,54.7298,0.576066336,-0.12228057,-3.256674448,-0.68838058,0.587976649,3.259953365,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
66,SCH11,54.7298,0.583189559,-0.091779034,-2.653851541,-0.650101358,0.675248571,3.009930014,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
67,SCH11,54.7298,0.551077333,-0.135636057,-2.410076253,-0.635181335,0.65186141,2.957395723,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
68,SCH11,54.7298,0.542246501,-0.099232043,-2.94720666,-0.561828054,0.478233607,2.566605622,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
69,SCH11,54.7298,0.539795403,-0.126403921,-2.565203859,-0.642013953,0.673399707,2.988709527,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
70,SCH11,54.7298,0.609488048,-0.176470588,-2.607656396,-0.635324286,0.655108847,2.904735055,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
71,SCH11,54.7298,0.489169912,-0.120894984,-3.850885465,-0.708219042,0.578856875,3.43753717,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
72,SCH11,54.7298,0.493782976,-0.080530071,-3.310482415,-0.647143431,0.524451379,3.030906205,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
73,SI,50.20261,0.455408444,-0.126188966,-2.201212263,-0.570307708,0.637167451,2.656787441,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
74,SI,50.20261,0.608716707,-0.271389144,-0.838017429,-0.462034085,0.452328125,2.010956421,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
75,SI,50.20261,0.502335481,-0.127217435,-2.971448802,-0.608851357,0.547205068,2.836206174,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
76,SI,50.20261,0.525325184,-0.138903672,-2.040280112,-0.526125472,0.543635456,2.402881099,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
77,SI,50.20261,0.488867684,-0.132923617,-3.551479925,-0.659853594,0.569663297,3.163685947,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
78,SI,50.20261,0.605717468,-0.117462967,-0.292723312,-0.311242708,0.520700483,1.634525994,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
79,SI,50.20261,0.56126459,-0.122052705,-1.328663243,-0.450613517,0.506921457,2.064958422,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
80,SI,50.20261,0.555494817,-0.109807209,-1.837507003,-0.637033192,0.879233069,2.991701653,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
