Latitude,PPFD,FvFm_mean,qP,qL,NPQ,phiPSII,phiNPQ,phiNO_new
39.026,871.8635,0.543682354,0.532802488,0.423679261,0.483321233,0.243326884,0.232581,0.500445716
39.026,1012.9525,0.541827264,0.521572542,0.413897551,0.497788594,0.23591611,0.238494852,0.50024799
39.026,1154.0415,0.540721176,0.510020496,0.402140097,0.497667707,0.229306072,0.24002968,0.504235716
39.026,1295.1305,0.541814651,0.496131577,0.39136729,0.506511166,0.22312883,0.245131709,0.505402069
39.026,1436.2195,0.541898829,0.48405025,0.378699075,0.490938384,0.218978099,0.240966165,0.513295675
39.026,95.874,0.501500442,0.842456452,0.759436004,0.136839548,0.400915901,0.068821586,0.534308719
39.026,166.4185,0.501107577,0.792461733,0.697921,0.216641789,0.365201377,0.10629421,0.524184077
39.026,236.963,0.497851008,0.715603055,0.616330784,0.363428423,0.310040791,0.170302065,0.509136331
39.026,307.5075,0.496624948,0.644186318,0.546407336,0.505366085,0.265251195,0.226735991,0.491298173
39.026,378.052,0.498903806,0.600432359,0.506280959,0.617302262,0.239426865,0.26557813,0.473076329
39.026,448.5965,0.499171613,0.548787408,0.457257881,0.692517568,0.214740656,0.293182725,0.467039417
39.026,519.141,0.50104181,0.509395538,0.421335157,0.755179856,0.196027016,0.315595577,0.460501089
39.026,589.6855,0.501867593,0.501263126,0.414580702,0.790084705,0.191036073,0.324707258,0.454322765
39.026,660.23,0.503663425,0.47955962,0.394887773,0.824076258,0.181920938,0.336516222,0.450885141
39.026,730.7745,0.504751764,0.458284804,0.374684372,0.844302839,0.173414958,0.343575554,0.45057901
39.026,871.8635,0.501497726,0.462304942,0.381010411,0.871609227,0.171520474,0.350410015,0.444739795
39.026,1012.9525,0.503181455,0.442017446,0.362280925,0.892547952,0.163182693,0.357179208,0.443963336
39.026,1154.0415,0.502661442,0.414247651,0.335306961,0.890850122,0.152411327,0.36062367,0.450028677
39.026,1295.1305,0.501454004,0.425335037,0.347370431,0.896840535,0.156467155,0.359386945,0.446967426
39.026,1436.2195,0.502023147,0.412644922,0.334321534,0.898388584,0.151339155,0.361157009,0.448764376
39.026,95.874,0.587732412,0.767817227,0.640616764,0.194856168,0.423557264,0.090098127,0.465873484
39.026,166.4185,0.584046558,0.75825641,0.631372549,0.221822304,0.410955526,0.101792089,0.464367271
39.026,236.963,0.582135571,0.7172115,0.587131273,0.265718877,0.381392728,0.123106475,0.470314751
39.026,307.5075,0.579103662,0.678590656,0.548941869,0.323254116,0.35259967,0.149291178,0.47213924
39.026,378.052,0.576681031,0.670456437,0.544727981,0.36563787,0.340798217,0.165979735,0.465118454
39.026,448.5965,0.575300274,0.644153202,0.519190289,0.39315964,0.323281048,0.179203969,0.468306975
39.026,519.141,0.573625116,0.608934523,0.486655216,0.435868388,0.300652016,0.198616876,0.470006337
39.026,589.6855,0.573320258,0.602387976,0.481169443,0.457813158,0.294987658,0.207099398,0.467061008
39.026,660.23,0.571560273,0.5781902,0.459766003,0.467424428,0.281469056,0.213787329,0.472476812
39.026,730.7745,0.572326613,0.553723308,0.432979156,0.49031959,0.267920593,0.224646465,0.475513997
39.026,871.8635,0.57121416,0.548923089,0.43216702,0.507512844,0.263406823,0.230293321,0.472505431
