pop,lat,PPFD,FvFmprime,qP,qL,qN,NPQ,phiPSII,phiNPQ,phiNO,JETR,JNPQ,JNO,Jtot,phiNO_new,FvFmprime_mean,FvFm_mean
CI,30.70123,307.5075,0.416343586,0.673141597,0.575321873,0.526654948,0.380703785,0.287047742,0.184529206,0.528423052,82.46068349,53.01001271,151.8009713,287.2716675,0.522740835,0.416343586,0.49150431
CI,30.70123,378.052,0.408320257,0.598442181,0.497974166,0.587763644,0.457440691,0.251017177,0.219750934,0.529231889,88.65271976,77.61029824,186.9108995,353.1739175,0.519048001,0.408320257,0.495788471
CI,30.70123,448.5965,0.400386933,0.574787633,0.477404115,0.630967538,0.511111844,0.236500028,0.24010886,0.523391112,99.11152535,100.6239008,219.3407413,419.0761675,0.509464472,0.400386933,0.495927579
CI,30.70123,519.141,0.394898518,0.551547265,0.455074592,0.66363153,0.555139934,0.223418109,0.258047248,0.518534643,108.352961,125.147346,251.4781106,484.9784175,0.50338495,0.394898518,0.496898791
CI,30.70123,589.6855,0.390434438,0.51499806,0.420816271,0.682824281,0.587719012,0.20688389,0.27215484,0.52096127,113.9683354,149.9248399,286.9874922,550.8806676,0.503215382,0.390434438,0.496740785
CI,30.70123,660.23,0.389609558,0.489141226,0.397042852,0.695806588,0.616664875,0.195909955,0.283406262,0.520683783,120.8339136,174.8001411,321.1488628,616.7829176,0.500539455,0.389609558,0.499907621
CI,30.70123,730.7745,0.387851347,0.478045646,0.386834941,0.703305102,0.628090755,0.190595275,0.288317819,0.521086907,130.1165673,196.8302986,355.7383024,682.6851683,0.500035289,0.387851347,0.499446033
CI,30.70123,871.8635,0.387830263,0.445658878,0.357198112,0.710154143,0.651097224,0.177802446,0.298473146,0.523724408,144.8182551,243.1032935,426.568119,814.4896676,0.500748045,0.387830263,0.502515707
CI,30.70123,1012.9525,0.384451592,0.440853601,0.353353514,0.719251259,0.668153135,0.173920243,0.302719561,0.523360196,164.5797116,286.461755,495.2527011,946.2941677,0.497703798,0.384451592,0.500886286
DS,39.026,95.874,0.476716734,0.762303248,0.658982525,0.264088457,0.171693493,0.367135135,0.08791142,0.544953445,32.36754466,7.750488965,48.04444817,88.16248179,0.537242852,0.476716734,0.513827729
DS,39.026,166.4185,0.463917554,0.72383298,0.617302233,0.316442653,0.209458395,0.339951072,0.108720912,0.551328015,52.02366905,16.63786707,84.37127738,153.0328135,0.544024534,0.463917554,0.508627844
