Taxa,NDVI,PRI,ExGm,GRVI,ARI,RGR,NDVI_sd,PRI_sd,ExGm_sd,GRVI_sd,ARI_sd,RGR_sd
Marchantia,0.596892097,-0.054736842,9.341876751,0.251274181,0.082553636,0.647753314,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.760339817,-0.037876106,1.133165266,-0.238910656,0.1911325,1.294110131,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.820915176,-0.175346078,4.400555556,0.223653083,0.075281938,0.676157802,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.596240058,-0.01853203,3.586279178,0.077125593,0.050412969,0.861889417,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.742106816,-0.022511848,7.346615313,0.296343083,0.137210182,0.595970769,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.545067452,-0.010594541,10.07219421,0.186185,0.047348032,0.723919792,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.648048154,-0.015192136,7.468123249,0.148750571,0.120248211,0.769729177,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.557938284,-0.01592233,5.041601307,-0.006063109,0.050087316,0.971417985,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.546577903,-0.016266014,3.108109244,-0.05381037,0.057877115,1.061242192,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.450405594,0.011074919,3.800480859,-0.037102193,0.006835587,1.031690409,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.588585764,-0.000460193,8.619416433,0.147367972,0.01716052,0.773522199,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.859463043,-0.021435228,4.050760971,-0.063307847,0.140283311,1.086253219,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
